Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-612_3D_Structure_model1_ZINC000001762468_uff_E=196.94,-7.4,2.127,1.974
miRNA-612_3D_Structure_model1_ZINC000001926621_uff_E=196.26,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000002507083_uff_E=899.53,-7.4,40.742,38.912
miRNA-612_3D_Structure_model1_ZINC000002545176_uff_E=188.54,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000002765676_uff_E=442.44,-7.4,5.2,2.363
miRNA-612_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-7.4,4.968,3.35
miRNA-612_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-7.4,51.532,49.24
miRNA-612_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-7.4,49.493,47.12
miRNA-612_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-7.4,39.758,37.511
miRNA-612_3D_Structure_model1_ZINC000004029864_uff_E=349.89,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000004386286_uff_E=391.99,-7.4,2.209,1.858
miRNA-612_3D_Structure_model1_ZINC000004386286_uff_E=391.99,-7.4,5.772,5.01
miRNA-612_3D_Structure_model1_ZINC000004705420_uff_E=585.32,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000004705420_uff_E=585.32,-7.4,9.401,5.997
miRNA-612_3D_Structure_model1_ZINC000004705420_uff_E=585.32,-7.4,12.246,9.234
miRNA-612_3D_Structure_model1_ZINC000005133422_uff_E=343.08,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000005133422_uff_E=343.08,-7.4,17.832,16.393
miRNA-612_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.4,7.057,6.152
miRNA-612_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.4,8.497,5.624
miRNA-612_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-7.4,54.291,53.102
miRNA-612_3D_Structure_model1_ZINC000005783286_uff_E=329.45,-7.4,2.398,1.294
miRNA-612_3D_Structure_model1_ZINC000006445419_uff_E=359.02,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000006445426_uff_E=365.88,-7.4,2.074,1.508
miRNA-612_3D_Structure_model1_ZINC000006445426_uff_E=365.88,-7.4,8.196,5.084
miRNA-612_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.4,2.737,1.923
miRNA-612_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.4,38.592,37.208
miRNA-612_3D_Structure_model1_ZINC000008575829_uff_E=813.95,-7.4,35.954,34.89
miRNA-612_3D_Structure_model1_ZINC000008609359_uff_E=208.91,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000008754431_uff_E=154.93,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000011850592_uff_E=163.33,-7.4,1.508,1.048
miRNA-612_3D_Structure_model1_ZINC000012896294_uff_E=149.56,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000014248179_uff_E=107.20,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000014988494_uff_E=385.12,-7.4,7.915,3.986
miRNA-612_3D_Structure_model1_ZINC000014988494_uff_E=385.12,-7.4,6.44,2.124
miRNA-612_3D_Structure_model1_ZINC000014988494_uff_E=385.12,-7.4,2.13,1.628
miRNA-612_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.4,51.012,47.658
miRNA-612_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.4,6.832,6.068
miRNA-612_3D_Structure_model1_ZINC000032627188_uff_E=389.56,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000034462800_uff_E=615.45,-7.4,15.665,14.124
miRNA-612_3D_Structure_model1_ZINC000036075290_uff_E=362.81,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000036075290_uff_E=362.81,-7.4,6.042,3.96
miRNA-612_3D_Structure_model1_ZINC000036556779_uff_E=1950.87,-7.4,26.193,24.291
miRNA-612_3D_Structure_model1_ZINC000039438675_uff_E=105.30,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-7.4,52.965,50.862
miRNA-612_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-7.4,42.16,40.539
miRNA-612_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-7.4,42.694,41.065
miRNA-612_3D_Structure_model1_ZINC000040543942_uff_E=368.82,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000040543942_uff_E=368.82,-7.4,10.419,8.058
miRNA-612_3D_Structure_model1_ZINC000050213590_uff_E=442.82,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000062831623_uff_E=444.37,-7.4,0,0
miRNA-612_3D_Structure_model1_ZINC000065407985_uff_E=565.32,-7.4,48.272,45.645
