Ligand,Binding Energy
ZINC000020258699_uff_E=295.27,-6.4
ZINC000020417474_uff_E=202.98,-6.4
ZINC000020596774_uff_E=390.34,-6.4
ZINC000032223533_uff_E=129.89,-6.4
ZINC000032936522_uff_E=533.67,-6.4
ZINC000037433961_uff_E=248.91,-6.4
ZINC000042373137_uff_E=144.66,-6.4
ZINC000042538552_uff_E=455.31,-6.4
ZINC000062913445_uff_E=258.45,-6.4
ZINC000072324052_uff_E=652.49,-6.4
ZINC000082377218_uff_E=540.58,-6.4
ZINC000085231638_uff_E=269.81,-6.4
ZINC000091746962_uff_E=350.10,-6.4
ZINC000095347889_uff_E=187.67,-6.4
ZINC000095386690_uff_E=181.49,-6.4
ZINC000095863104_uff_E=289.56,-6.4
ZINC000100794811_uff_E=695.82,-6.4
ZINC000101036960_uff_E=1426.44,-6.4
ZINC000152495503_uff_E=1736.71,-6.4
ZINC000177995311_uff_E=1451.37,-6.4
ZINC000177997511_uff_E=1312.71,-6.4
ZINC000217474649_uff_E=376.79,-6.4
ZINC000269082916_uff_E=257.94,-6.4
ZINC000307570411_uff_E=448.78,-6.4
ZINC000000386722_uff_E=131.22,-6.3
ZINC000000405389_uff_E=172.45,-6.3
ZINC000000486241_uff_E=114.95,-6.3
ZINC000000973279_uff_E=100.64,-6.3
ZINC000001383620_uff_E=171.36,-6.3
ZINC000001532279_uff_E=104.95,-6.3
ZINC000001644960_uff_E=279.65,-6.3
ZINC000001873108_uff_E=97.13,-6.3
ZINC000002003379_uff_E=959.90,-6.3
ZINC000002473620_uff_E=116.22,-6.3
ZINC000002578354_uff_E=136.64,-6.3
ZINC000004553155_uff_E=301.85,-6.3
ZINC000004637235_uff_E=104.66,-6.3
ZINC000006751092_uff_E=302.62,-6.3
ZINC000017110022_uff_E=114.81,-6.3
ZINC000019366022_uff_E=143.14,-6.3
ZINC000019504858_uff_E=662.08,-6.3
ZINC000019517335_uff_E=203.54,-6.3
ZINC000019583672_uff_E=705.55,-6.3
ZINC000020357862_uff_E=310.99,-6.3
ZINC000020357873_uff_E=299.37,-6.3
ZINC000034120624_uff_E=206.67,-6.3
ZINC000037655543_uff_E=594.41,-6.3
ZINC000039121203_uff_E=79.08,-6.3
ZINC000059269027_uff_E=439.56,-6.3
ZINC000065394805_uff_E=376.52,-6.3
ZINC000066323259_uff_E=133.35,-6.3
ZINC000070453846_uff_E=475.08,-6.3
ZINC000079006733_uff_E=468.33,-6.3
ZINC000095919628_uff_E=228.03,-6.3
ZINC000123637293_uff_E=296.06,-6.3
ZINC000152495606_uff_E=1736.11,-6.3
ZINC000152495699_uff_E=1760.43,-6.3
ZINC000231456706_uff_E=163.47,-6.3
ZINC000261536697_uff_E=722.76,-6.3
ZINC000367929583_uff_E=417.48,-6.3
ZINC000585134635_uff_E=240.71,-6.3
ZINC000000497329_uff_E=106.45,-6.2
ZINC000000984850_uff_E=91.27,-6.2
ZINC000001417063_uff_E=326.80,-6.2
ZINC000002569185_uff_E=336.47,-6.2
